Current (mA)	Voltage (V)	Power (mW)
27.90000	2.07102	0.01224
27.95000	2.07107	0.01247
28.00000	2.07097	0.01212
28.05000	2.07096	0.01254
28.10000	2.07096	0.01239
28.15000	2.07090	0.01216
28.20000	2.07096	0.01202
28.25000	2.07100	0.01251
28.30000	2.07101	0.01251
28.35000	2.07101	0.01247
28.40000	2.07093	0.01195
28.45000	2.07087	0.01216
28.50000	2.07101	0.01251
28.55000	2.07098	0.01228
28.60000	2.07094	0.01212
28.65000	2.07100	0.01224
28.70000	2.07100	0.01235
28.75000	2.07101	0.01254
28.80000	2.07096	0.01224
28.85000	2.07095	0.01212
28.90000	2.07093	0.01243
28.95000	2.07097	0.01239
29.00000	2.07107	0.01243
29.05000	2.07099	0.01231
29.10000	2.07091	0.01243
29.15000	2.07097	0.01231
29.20000	2.07103	0.01209
29.25000	2.07092	0.01191
29.30000	2.07092	0.01254
29.35000	2.07098	0.01254
29.40000	2.07096	0.01220
29.45000	2.07097	0.01172
29.50000	2.07089	0.01191
29.55000	2.07099	0.01216
29.60000	2.07099	0.01231
29.65000	2.07089	0.01224
29.70000	2.07093	0.01231
29.75000	2.07098	0.01216
29.80000	2.07096	0.01243
29.85000	2.07097	0.01228
29.90000	2.07091	0.01239
29.95000	2.07095	0.01205
30.00000	2.07093	0.01243
