Current (mA)	Voltage (V)	Power (mW)
23.90000	2.50082	0.00978
23.95000	2.50090	0.00963
24.00000	2.50081	0.00982
24.05000	2.50082	0.00978
24.10000	2.50088	0.01003
24.15000	2.50096	0.00996
24.20000	2.50083	0.00959
24.25000	2.50083	0.00982
24.30000	2.50089	0.00959
24.35000	2.50085	0.00992
24.40000	2.50080	0.00963
24.45000	2.50089	0.00966
24.50000	2.50087	0.00955
24.55000	2.50088	0.01003
24.60000	2.50085	0.00989
24.65000	2.50083	0.00970
24.70000	2.50086	0.00982
24.75000	2.50086	0.00978
24.80000	2.50092	0.00992
24.85000	2.50088	0.00974
24.90000	2.50086	0.00966
24.95000	2.50090	0.00966
25.00000	2.50091	0.00985
25.05000	2.50082	0.00963
25.10000	2.50082	0.01015
25.15000	2.50090	0.00970
25.20000	2.50086	0.01003
25.25000	2.50087	0.00959
25.30000	2.50087	0.00982
25.35000	2.50084	0.00982
25.40000	2.50089	0.00959
25.45000	2.50073	0.00955
25.50000	2.50080	0.01015
25.55000	2.50087	0.00966
25.60000	2.50095	0.00963
25.65000	2.50082	0.00947
25.70000	2.50079	0.00985
25.75000	2.50094	0.01003
25.80000	2.50085	0.00959
25.85000	2.50090	0.01015
25.90000	2.50082	0.00944
25.95000	2.50085	0.00989
26.00000	2.50091	0.00966
26.05000	2.50089	0.00947
26.10000	2.50082	0.00951
26.15000	2.50085	0.00996
26.20000	2.50093	0.00999
26.25000	2.50096	0.00985
26.30000	2.50082	0.00974
26.35000	2.50087	0.00974
26.40000	2.50090	0.01015
26.45000	2.50082	0.01003
26.50000	2.50085	0.00951
26.55000	2.50085	0.00974
26.60000	2.50090	0.00996
26.65000	2.50088	0.00951
26.70000	2.50087	0.00966
26.75000	2.50086	0.00970
26.80000	2.50083	0.00978
26.85000	2.50079	0.00996
26.90000	2.50090	0.00974
26.95000	2.50087	0.00970
27.00000	2.50081	0.01018
27.05000	2.50079	0.00947
27.10000	2.50090	0.00947
27.15000	2.50086	0.00974
27.20000	2.50080	0.00996
27.25000	2.50087	0.00974
27.30000	2.50091	0.00978
27.35000	2.50081	0.00985
27.40000	2.50088	0.00982
27.45000	2.50082	0.00978
27.50000	2.50083	0.00989
27.55000	2.50089	0.00963
27.60000	2.50084	0.00974
27.65000	2.50096	0.01003
27.70000	2.50085	0.00992
27.75000	2.50082	0.00974
27.80000	2.50082	0.00963
27.85000	2.50085	0.00966
27.90000	2.50086	0.00970
27.95000	2.50077	0.00955
28.00000	2.50080	0.00978
28.05000	2.50087	0.00955
28.10000	2.50081	0.00974
28.15000	2.50093	0.00963
28.20000	2.50081	0.00963
28.25000	2.50072	0.00999
28.30000	2.50086	0.00963
28.35000	2.50082	0.00932
28.40000	2.50083	0.00970
28.45000	2.50086	0.00989
28.50000	2.50087	0.00982
28.55000	2.50082	0.00955
28.60000	2.50081	0.00974
28.65000	2.50080	0.00963
28.70000	2.50087	0.00999
28.75000	2.50084	0.00978
28.80000	2.50085	0.00992
28.85000	2.50086	0.00974
28.90000	2.50086	0.00999
28.95000	2.50087	0.01007
29.00000	2.50085	0.00944
29.05000	2.50081	0.00936
29.10000	2.50089	0.00985
29.15000	2.50083	0.00970
29.20000	2.50089	0.00985
29.25000	2.50080	0.00936
29.30000	2.50085	0.01007
29.35000	2.50079	0.00985
29.40000	2.50087	0.00944
29.45000	2.50082	0.00982
29.50000	2.50082	0.01026
29.55000	2.50085	0.01007
29.60000	2.50091	0.01003
29.65000	2.50080	0.00959
29.70000	2.50081	0.00966
29.75000	2.50079	0.01015
29.80000	2.50079	0.01007
29.85000	2.50086	0.00999
29.90000	2.50082	0.00944
29.95000	2.50083	0.00974
30.00000	2.50081	0.00992
